                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.18914,                0.76611,                      1,                0.42688,             0.00023713,             0.00023713,             0.00023713
                      2,                 0.0759,                0.87477,                0.99816,                0.39071,             0.00045945,             0.00045945,             0.00045945
                      3,                 0.0463,                0.92265,                      1,                0.37251,             0.00066606,             0.00066606,             0.00066606
                      4,                 0.0303,                0.92449,                0.99816,                0.37282,             0.00064331,             0.00064331,             0.00064331
                      5,                0.02719,                0.94843,                      1,                0.36636,             0.00064331,             0.00064331,             0.00064331
                      6,                0.01845,                0.94291,                      1,                0.36317,             0.00061975,             0.00061975,             0.00061975
                      7,                0.01404,                0.97238,                      1,                0.35757,             0.00059619,             0.00059619,             0.00059619
                      8,                0.00979,                0.96501,                      1,                0.35543,             0.00057263,             0.00057263,             0.00057263
                      9,                0.00834,                0.96317,                      1,                0.35572,             0.00054907,             0.00054907,             0.00054907
                     10,                0.00422,                0.96685,                      1,                0.35507,              0.0005255,              0.0005255,              0.0005255
                     11,                0.00302,                0.96869,                      1,                0.35407,             0.00050194,             0.00050194,             0.00050194
                     12,                0.00241,                0.97238,                      1,                0.35259,             0.00047838,             0.00047838,             0.00047838
                     13,                0.00364,                0.96869,                      1,                0.35382,             0.00045482,             0.00045482,             0.00045482
                     14,                0.00232,                0.96869,                      1,                0.35357,             0.00043126,             0.00043126,             0.00043126
                     15,                0.00274,                0.97606,                      1,                 0.3526,             0.00040769,             0.00040769,             0.00040769
                     16,                0.00249,                0.96317,                      1,                0.35378,             0.00038413,             0.00038413,             0.00038413
                     17,                0.00186,                0.97422,                      1,                0.35136,             0.00036057,             0.00036057,             0.00036057
                     18,                0.00165,                0.96501,                      1,                0.35418,             0.00033701,             0.00033701,             0.00033701
                     19,                0.00192,                0.96133,                      1,                0.35389,             0.00031345,             0.00031345,             0.00031345
                     20,                0.00124,                0.97606,                      1,                0.35123,             0.00028988,             0.00028988,             0.00028988
                     21,                0.00175,                0.97606,                      1,                0.35229,             0.00026632,             0.00026632,             0.00026632
                     22,                 0.0011,                0.97606,                      1,                0.35157,             0.00024276,             0.00024276,             0.00024276
                     23,                0.00121,                0.97238,                      1,                 0.3515,              0.0002192,              0.0002192,              0.0002192
                     24,                0.00096,                0.97422,                      1,                0.35125,             0.00019564,             0.00019564,             0.00019564
                     25,                0.00093,                0.98158,                      1,                0.35075,             0.00017207,             0.00017207,             0.00017207
                     26,                0.00077,                0.97606,                      1,                0.35094,             0.00014851,             0.00014851,             0.00014851
                     27,                0.00073,                0.97606,                      1,                 0.3509,             0.00012495,             0.00012495,             0.00012495
                     28,                0.00098,                0.97974,                      1,                0.35049,             0.00010139,             0.00010139,             0.00010139
                     29,                0.00095,                0.98158,                      1,                0.35041,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                0.00077,                0.97606,                      1,                0.35118,             5.4264e-05,             5.4264e-05,             5.4264e-05
